SAMPLE_ID,SAMP_DATE,LABNO,WUWN,GROUP_ID,YEAR,YEAR_COMBINED,COUNTY,TOWNSHIP,TOWN,RANGE,RANGE_DIR,SECTION,QS,QQS,pH_Qual,pH,pH_Rel,Cond_Qual,Conductivity,Cond_Rel,Alk_Qual,Alkalinity,Alk_Rel,Total.Hardness,Thard_Rel,Nitrate,NO3_Rel,Cl_Qual,Chloride,Cl_Rel,SI_Qual,SI,SI_Rel,As_Qual,Arsenic,As_Rel,Ca_Qual,Calcium,Ca_Rel,Cu_Qual,Copper,Cu_Rel,Fe_Qual,Iron,Fe_Rel,K_Qual,Potassium,K_Rel,Mg_Qual,Magnesium,Mg_Rel,Mn_Qual,Manganese,Mn_Rel,Na_Qual,Sodium,Na_Rel,Pb_Qual,Lead,Pb_Rel,SO4_Qual,Sulfate,SO4_Rel,Zn_Qual,Zinc,Zn_Rel,P_Qual,P,P_Rel,PROJECT_ID,LONGITUDE,LATITUDE,ID,X1100,X1200,X2110,X2120,X2130,X2140,X3110,X3120,X3210,X3220,X4110,X4120,X4130,X4210,X4220,X4230,X4240,X4250,X4300,X5000,X6100,X6210,X6220,X6230,X6310,X6320,X6330,X6410,X6420,X6430,X6440,X6450,X7000,X8000,X65535,area.x,area2,CASH_PERC,CORN_PERC,DAIRY_PERC,URBAN_area,URBAN_PERC,HAY_PERC,PASTURE_PERC,AG_area,AG_PERC,POT_VEG_PERC,Excessively.drained,Somewhat.excessively.drained,Well.drained,Moderately.well.drained,Somewhat.poorly.drained,Poorly.drained,Very.poorly.drained,Water,area.ssurgo,area_ssurgo_nowater,perc_wd,perc_pd,perc_vpd,perc_sed,perc_spd,perc_mwd,perc_ed,weighted.rank,cnt,cnt_Thard,THard,HAY_PAST,AG_HAY_PAST,ROWCROP,DRAIN_CAT,AG_CAT,HAY_CAT,PASTURE_CAT,HAY_PAST_CAT,DAIRY_CAT,ROWCROP_CAT,AG_HAY_PAST_CAT,URBAN_CAT
127729,5/9/2022,2200238-15,QV384,571,2022,2022&2023,BARRON,STANLEY,34,11,W,29,NW,NE,NA,6.48,1,NA,136,1,NA,52,1,57,1,0.6,1,,5.8,1,NA,-2.3,1,<,0.005,1,,13.87,1,,0.041,1,,0.141,1,,0.669,1,,5.521,1,,0.086,1,NA,2.783,1,<,0.004,1,NA,6.2,1,,0.009,1,,0.036,1,40011,-91.75881177,45.40640964,84,52200,291600,NA,NA,NA,NA,14400,83700,54000,NA,NA,232200,NA,16200,NA,28800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,773100,773100,0,0,0,343800,0.444703143,0.01862631,0.108265425,0,0,0,2262.33,213915.87,537429.06,5530.14,5530.14,1256.85,2765.07,3519.18,772208.64,768689.46,0.699149771,0.001635056,0.003597122,0.278286462,0.007194245,0.007194245,0.0029431,5.243296272,1,0,57,0.126891735,0.126891735,0,Well Drained,0-25%,0-25%,0-25%,0-25%,0-25%,0-25%,0-25%,30-100%
127730,5/10/2022,2200238-16,ND435,571,2022,2022&2023,BARRON,PRAIRIE LAKE,33,11,W,13,SE,NW,NA,6.22,1,NA,149,1,NA,43,1,58,1,5.4,1,,2.3,1,NA,-2.6,1,<,0.005,1,,15.21,1,,0.775,1,,0.413,1,,0.523,1,,4.833,1,,0.045,1,NA,3.449,1,,0.007,1,NA,6.75,1,,0.385,1,,0.032,1,40012,-91.67434787,45.34136179,44,NA,64800,96300,NA,NA,155700,13500,NA,43200,NA,NA,58500,NA,NA,NA,84600,NA,NA,NA,251100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,767700,767700,0.125439625,0,0,64800,0.084407972,0.017584994,0,252000,0.328253224,0.202813599,NA,530139.33,NA,NA,NA,NA,12065.76,231260.4,773465.49,542205.09,0,0,0.022253129,0.977746871,0,0,0,5.888734353,1,0,58,0.017584994,0.345838218,0.125439625,Somewhat Excessively Drained,25-50%,0-25%,0-25%,0-25%,0-25%,0-25%,25-50%,5-30%
127731,5/18/2022,2200238-17,NA296,571,2022,2022&2023,BARRON,CRYSTAL LAKE,35,14,W,24,NE,NW,NA,6.43,1,NA,227,1,NA,108,1,107,1,1.2,1,,4.4,1,NA,-1.8,1,<,0.005,1,,26.02,1,,0.114,1,<,0.005,1,,0.964,1,,10.2,1,<,0.001,1,NA,3.51,1,<,0.004,1,NA,5.66,1,,0.014,1,,0.057,1,40013,-92.0395322,45.5080976,39,NA,NA,NA,NA,64800,102600,130500,171000,152100,NA,NA,NA,NA,34200,NA,86400,NA,NA,NA,NA,NA,NA,9000,NA,7200,NA,NA,NA,16200,NA,NA,NA,NA,NA,NA,750600,774000,0,0,0.08372093,0,0,0.168604651,0.220930233,167400,0.21627907,0.13255814,1005.48,13071.24,NA,724448.34,28404.81,2765.07,3016.44,1005.48,773716.86,772711.38,0,0.003578399,0.003903709,0.01691607,0.036759922,0.937540664,0.001301236,3.982108003,1,0,107,0.389534884,0.605813954,0,Moderately Well Drained,0-25%,0-25%,0-25%,25-50%,0-25%,0-25%,50-75%,0-2.5%
127732,5/28/2022,2200238-18,WV584,571,2022,2022&2023,BARRON,SUMNER,34,10,W,20,NW,SW,NA,5.87,1,NA,80,1,NA,6,1,24,1,4.1,1,,4.7,1,NA,-4.2,1,<,0.005,1,,6.07,1,,0.038,1,,0.023,1,,1.413,1,,2.17,1,,0.009,1,NA,2.817,1,,0.007,1,NA,2.92,1,,0.031,1,,0.018,1,40014,-91.64153022,45.41379234,191,NA,19800,NA,NA,NA,NA,NA,349200,11700,NA,NA,NA,NA,21600,NA,196200,NA,NA,NA,NA,NA,NA,16200,16200,65700,1800,NA,NA,49500,18900,NA,NA,NA,NA,NA,630900,766800,0,0,0,19800,0.025821596,0,0.455399061,0,0,0,6535.62,54798.66,148056.93,288321.39,119400.75,140264.46,8295.21,6786.99,772460.01,765673.02,0.193368352,0.18319107,0.01083388,0.071569271,0.155942219,0.376559422,0.008535785,3.807288247,1,0,24,0.455399061,0.455399061,0,Moderately Well Drained,0-25%,0-25%,25-50%,25-50%,0-25%,0-25%,25-50%,2.5-5%
127733,5/18/2022,2200238-20,NX070,571,2022,2022&2023,BARRON,CRYSTAL LAKE,35,14,W,4,SE,SE,NA,6.89,1,NA,257,1,NA,135,1,127,1,0.1,1,,1.6,1,NA,-1.2,1,<,0.005,1,,31.81,1,,0.002,1,<,0.005,1,,0.943,1,,11.56,1,<,0.001,1,NA,3.573,1,<,0.004,1,NA,6.62,1,,0.009,1,,0.034,1,40015,-92.09289876,45.54193565,50,NA,NA,NA,NA,58500,NA,22500,12600,NA,NA,NA,4500,NA,NA,NA,492300,NA,NA,NA,NA,NA,9000,52200,20700,10800,78300,NA,NA,6300,NA,NA,NA,NA,NA,NA,672300,767700,0,0,0.076201641,0,0,0.029308324,0.016412661,58500,0.076201641,0,17093.16,NA,2513.7,630687.33,27902.07,18350.01,27650.7,47508.93,771705.9,724196.97,0.003471017,0.025338424,0.038181187,0,0.038528289,0.870878167,0.023602916,3.870531066,1,0,127,0.045720985,0.121922626,0,Moderately Well Drained,0-25%,0-25%,0-25%,0-25%,0-25%,0-25%,0-25%,0-2.5%
127734,5/18/2022,2200238-21,WN154,571,2022,2022&2023,BARRON,BEAR LAKE,36,12,W,25,SE,SE,NA,6.59,1,NA,254,1,NA,70,1,106,1,1.3,1,,32.7,1,NA,-1.9,1,<,0.005,1,,25.02,1,,0.008,1,,0.032,1,,0.747,1,,10.46,1,,0.004,1,NA,4.998,1,<,0.004,1,NA,4.75,1,,0.012,1,,0.018,1,40016,-91.78730913,45.56747006,182,NA,38700,NA,NA,66600,NA,50400,63000,22500,NA,14400,29700,31500,257400,NA,118800,NA,66600,10800,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500,900,NA,NA,NA,NA,NA,770400,775800,0,0,0.085846868,38700,0.049883991,0.064965197,0.081206497,66600,0.085846868,0,NA,NA,150822,583429.77,38962.35,NA,NA,NA,773214.12,773214.12,0.195058518,0,0,0,0.050390117,0.754551365,0,4.144668401,1,0,106,0.146171694,0.232018562,0,Moderately Well Drained,0-25%,0-25%,0-25%,0-25%,0-25%,0-25%,0-25%,2.5-5%
127735,5/18/2022,2200238-22,UM740,571,2022,2022&2023,BARRON,CUMBERLAND,35,13,W,31,NE,NE,NA,6.99,1,NA,285,1,NA,147,1,142,1,1.5,1,,2.6,1,NA,-1,1,<,0.005,1,,32.43,1,,0.004,1,<,0.005,1,,0.395,1,,14.73,1,,0.002,1,NA,4.061,1,<,0.004,1,NA,2.64,1,,0.003,1,,0.16,1,40017,-92.01442076,45.47935094,145,NA,NA,32400,NA,337500,NA,116100,196200,NA,3600,NA,8100,NA,NA,NA,77400,NA,NA,NA,NA,NA,NA,NA,NA,900,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,771300,774000,0.041860465,0,0.436046512,0,0,0.15,0.253488372,369900,0.477906977,0,NA,20360.97,81946.62,661857.21,7038.36,754.11,NA,NA,771957.27,771957.27,0.106154347,0.00097688,0,0.026375773,0.009117551,0.857375448,0,4.147834582,1,0,142,0.403488372,0.881395349,0.041860465,Moderately Well Drained,25-50%,0-25%,25-50%,25-50%,25-50%,0-25%,75-100%,0-2.5%
127736,5/18/2022,2200238-23,YP051,571,2022,2022&2023,BARRON,CUMBERLAND,35,13,W,31,NE,NW,NA,6.46,1,NA,368,1,NA,83,1,151,1,10,1,,41,1,NA,-1.8,1,<,0.005,1,,33.8,1,,0.005,1,<,0.005,1,,0.441,1,,16.16,1,<,0.001,1,NA,7.892,1,<,0.004,1,NA,6.79,1,,0.028,1,,0.079,1,40018,-92.01959274,45.47930345,253,NA,NA,54900,NA,480600,NA,90000,96300,NA,15300,NA,NA,NA,NA,NA,32400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,769500,769500,0.071345029,0,0.624561404,0,0,0.116959064,0.125146199,535500,0.695906433,0,NA,NA,NA,692021.61,80941.14,NA,NA,NA,772962.75,772962.75,0,0,0,0,0.104715447,0.895284553,0,3.895284553,1,0,151,0.242105263,0.938011696,0.071345029,Moderately Well Drained,50-75%,0-25%,0-25%,0-25%,50-75%,0-25%,75-100%,0-2.5%
127737,5/19/2022,2200238-24,YX312,571,2022,2022&2023,BARRON,PRAIRIE FARM,32,13,W,24,NE,SE,NA,6.7,1,NA,323,1,NA,108,1,145,1,7.1,1,,15.3,1,NA,-1.4,1,<,0.005,1,,42.52,1,,0.014,1,<,0.005,1,,1.178,1,,9.46,1,<,0.001,1,NA,4.937,1,<,0.004,1,NA,11.33,1,<,0.003,1,,0.37,1,40019,-91.91389045,45.2458015,267,NA,NA,142200,NA,329400,NA,144900,6300,NA,NA,NA,NA,NA,11700,NA,NA,20700,30600,NA,NA,NA,NA,32400,NA,NA,NA,NA,NA,NA,NA,NA,54000,NA,NA,NA,718200,772200,0.184149184,0,0.426573427,0,0,0.187645688,0.008158508,471600,0.610722611,0,2513.7,14830.83,289326.87,243074.79,133226.1,86974.02,1256.85,1256.85,772460.01,771203.16,0.375162973,0.112777053,0.001629726,0.019230769,0.172750978,0.315189048,0.003259452,4.020208605,1,0,145,0.195804196,0.806526807,0.184149184,Moderately Well Drained,50-75%,0-25%,0-25%,0-25%,25-50%,0-25%,75-100%,0-2.5%
127738,5/18/2022,2200238-25,QL500,571,2022,2022&2023,BARRON,TURTLE LAKE,33,14,W,17,NE,SW,NA,7.62,1,NA,265,1,NA,153,1,133,1,0.05,1,,1.4,1,NA,-0.4,1,,0.006,1,,32.96,1,,0.002,1,,0.881,1,,0.874,1,,12.4,1,,0.068,1,NA,3.747,1,,0.006,1,NA,0.53,1,,0.325,1,,0.074,1,40020,-92.12129723,45.34658512,73,NA,7200,NA,NA,65700,NA,23400,178200,NA,NA,NA,NA,NA,63900,NA,NA,NA,54900,NA,293400,NA,NA,16200,39600,NA,NA,NA,NA,900,NA,NA,24300,NA,NA,NA,742500,767700,0,0,0.085580305,7200,0.009378664,0.030480657,0.232121923,65700,0.085580305,0,11311.65,63847.98,NA,359459.1,NA,13573.98,19858.23,304660.44,772711.38,468050.94,0,0.029001074,0.042427497,0.13641246,0,0.767991407,0.024167562,4.160042965,1,0,133,0.26260258,0.348182885,0,Moderately Well Drained,0-25%,0-25%,0-25%,25-50%,0-25%,0-25%,25-50%,0-2.5%
127739,5/10/2022,2200238-26,QJ896,571,2022,2022&2023,BARRON,STANLEY,34,11,W,30,SE,NE,NA,6.41,1,NA,239,1,NA,67,1,101,1,6.4,1,,13.5,1,NA,-2.1,1,<,0.005,1,,23.8,1,,0.018,1,,0.009,1,,0.798,1,,10.01,1,<,0.001,1,NA,4.349,1,<,0.004,1,NA,9.87,1,,0.029,1,,0.023,1,40021,-91.76685826,45.39798743,70,41400,180000,NA,NA,NA,131400,NA,63000,73800,NA,NA,245700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9000,12600,16200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,756900,773100,0,0,0,221400,0.286379511,0,0.081490105,131400,0.169965076,0.169965076,225981.63,426826.26,13825.35,1759.59,2010.96,1256.85,69126.75,31923.99,772711.38,740787.39,0.018663047,0.001696641,0.093315236,0.576179165,0.002714625,0.002375297,0.305055989,5.800135731,1,0,101,0.081490105,0.251455181,0,Somewhat Excessively Drained,0-25%,0-25%,0-25%,0-25%,0-25%,0-25%,25-50%,5-30%
127740,5/15/2022,2200238-27,YQ759,571,2022,2022&2023,BARRON,CEDAR LAKE,36,10,W,32,NE,NW,NA,7.21,1,NA,324,1,NA,185,1,169,1,0.05,1,,0.9,1,NA,-0.6,1,,0.007,1,,45.55,1,,0.027,1,,3.684,1,,1.078,1,,13.36,1,,0.984,1,NA,3.507,1,<,0.004,1,NA,0.91,1,,0.276,1,,0.187,1,40022,-91.63068267,45.56530192,257,NA,NA,NA,NA,198900,NA,50400,108000,96300,13500,13500,39600,NA,41400,NA,90000,NA,NA,NA,19800,NA,NA,NA,5400,NA,NA,NA,23400,61200,10800,NA,NA,NA,NA,NA,676800,772200,0,0,0.257575758,0,0,0.065268065,0.13986014,198900,0.257575758,0,9552.06,29913.03,424563.93,143532.27,69880.86,12065.76,54044.55,28656.18,772208.64,743552.46,0.570993915,0.016227181,0.072684246,0.040229885,0.093982421,0.193035835,0.012846518,4.345503719,1,0,169,0.205128205,0.462703963,0,Moderately Well Drained,25-50%,0-25%,0-25%,0-25%,25-50%,0-25%,25-50%,0-2.5%
