FIPS,CommunityName,StateAbbr,Region,Population,PopulationGroup,PopulationGroupOrder,RegionOrder,dollarsPerCapita,percentOfMuniBud,dollarsPerPublicTree,budgetNeeds,raPlan,raPrun,raRem,raAdmin,raOther,publicTreeAssetValue,publicTreeAssetInd,treeBoard,ordinance,ordinanceYear,writtenStratPlan,writtenStratPlanUpToDate,treeResourceInventoryExists,treeResourceInventory,canCovGoal,percentCanGoal,percentCurCan,yearsToGoal,percentCanProgress,greenSpaceAreaMeters,greenSpaceAreaFeet,currentPrunInsCyc,desiredPrunInsCyc,yearsOfPrunInsCyc,percentAttPrunInsCyc,activeManagement,strTrStockingLevel,prkTrStockingLevel,munTrStockingLevel,pubStrTrDensity,manPubTrPerCap,manPubTrPerEmp,plantedTrStab,tcAdvisoryBoard,tcOrdinance,tcBudgetValue,tcBudget,tcArborDay,tcScore,carsStaff,carsOrdinance,carsOrdMainHave,carsOrdPlantHave,carsOrdProthave,carsAdvocacy,carsManagement,carsScore,smaStaff,smaMasterPlan,smaStatus,smaAward,smaPreference,smaStandards,smaScore,cmManagement,cmFunding,cmStaffing,cmAssessment,cmProtection,cmSelection,cmStandards,cmSafety,cmRecycling,cmResourceManagement,cmInteraction,cmGreenCooperation,cmInvolvement,cmAction,cmAgencyCooperation,cmRegionalCooperation,cmAwareness,cmCommunityFramework,cmCanopyCover,cmAge,cmSpeciesMix,cmVegetationResource,cmScore,cmRelativeScore,cmResourceManagementRelative,cmCommunityFrameworkRelative,cmVegetationResourceRelative
0612048,Cathedral City,CA,West,51200,50-99.9k,5,5,0.9765625,0.131578947,#N/A,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,100,100,#N/A,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,0.9765625,0,0,50,100,100,100,100,100,100,0,75,#N/A,100,0,0,#N/A,#N/A,#N/A,#N/A,4,3,1,2,3.5,#N/A,2,2,#N/A,3,3,3,3,3,3,3,21,1,1,1,4,#N/A,#N/A,#N/A,66.66666667,0
0613014,Chico,CA,West,86187,50-99.9k,5,5,3.64289278,0.260664431,7.565542169,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N,100,100,100,0,#N/A,100,100,0,#N/A,#N/A,#N/A,#N/A,246.6468365,2654.882105,#N/A,#N/A,#N/A,#N/A,0,93.02325581,79.87220447,98.03921569,138.4083045,0.481511133,9222.222222,-236,100,100,3.64289278,100,100,100,100,100,100,100,100,100,0,75,#N/A,0,100,#N/A,#N/A,0,#N/A,1,1,3,4,4,3,2,1,#N/A,#N/A,2,2.5,2.5,2.5,2.5,2.5,3,17.5,1,2,2,6.666666667,#N/A,#N/A,#N/A,50,22.22222222
0613392,Chula Vista,CA,West,243916,100-249.9k,6,5,2.904274422,0.263541295,14.14845513,42,0.82,58.88,11,24,5.3,129509400,Y,100,100,100,100,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,79.7684436,#N/A,#N/A,75.43103448,0.205271487,10013.8,#N/A,100,100,2.904274422,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,85.71428571,2,2,4,4,3,3,3,1,3,25,2.5,4,2.5,2.5,3,3,3,20.5,1,2,2,6.666666667,52.16666667,53.61111111,59.25925926,64.28571429,22.22222222
0613588,Citrus Heights,CA,West,83301,50-99.9k,5,5,1.320512359,0.342820239,4.904583556,25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,100,100,#N/A,100,#N/A,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,#N/A,#N/A,100,#N/A,#N/A,#N/A,#N/A,0.269240465,#DIV/0!,#N/A,100,100,1.320512359,0,0,50,100,100,100,100,100,100,100,100,100,100,0,100,100,100,85.71428571,#N/A,2,3,3,3,3.5,#N/A,3,2,#N/A,2.5,3,2.5,2.5,3,3,3,19.5,3,3,2,10.66666667,#N/A,#N/A,#N/A,59.52380952,55.55555556
0616350,Corona,CA,West,152374,100-249.9k,6,5,#N/A,#N/A,#N/A,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,#N/A,#N/A,#N/A,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#N/A,100,#N/A,#N/A,#N/A,#N/A,0.984419914,#N/A,#N/A,100,0,#N/A,#N/A,100,#N/A,100,#N/A,#N/A,#N/A,100,100,#N/A,#N/A,100,#N/A,100,100,#N/A,#N/A,#N/A,#N/A,3,3,4,1,1,#N/A,2,3,#N/A,3,1,3,3,1,3,3,17,1,2,2,6.666666667,#N/A,#N/A,#N/A,47.61904762,22.22222222
0617988,Danville,CA,West,42039,25-49.9k,4,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,#N/A,100,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,#N/A,#N/A,0,#N/A,#N/A,100,100,100,100,0,0,24.75,#N/A,100,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,2.5,1,3,3,#N/A,1,#N/A,#N/A,2,2.5,2.5,2,3,2.5,3,17.5,1,1,1,4,#N/A,#N/A,#N/A,50,0
0618394,Delano,CA,West,53041,50-99.9k,5,5,#N/A,#N/A,#N/A,50,5,35,5,15,40,#N/A,N,0,100,#N/A,#N/A,#N/A,100,100,0,#N/A,#N/A,#N/A,#N/A,15.5645527,167.5353029,2,#N/A,#N/A,#N/A,100,80,80.95238095,80,400,#N/A,#N/A,44,100,100,#N/A,#N/A,100,#N/A,#N/A,100,100,100,100,100,0,49.75,#N/A,0,0,0,#N/A,#N/A,#N/A,1.5,2,2.5,4,2,3,#N/A,1,2,#N/A,3,3,2,3,2,4,3,20,1,2,2,6.666666667,#N/A,#N/A,#N/A,61.9047619,22.22222222
0619766,Downey,CA,West,111772,100-249.9k,6,5,9.63285975,0.513455294,67.29275,100,10,50,10,25,5,50734695,N,100,100,#N/A,100,#N/A,100,100,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,#N/A,#N/A,100,47.55244755,55.15695067,#N/A,#N/A,0.143148552,2666.666667,-50,100,100,9.63285975,100,100,100,100,#N/A,#N/A,100,100,100,100,74.75,100,100,100,100,0,100,85.71428571,#N/A,4,3,4,1,4,4,2,4,#N/A,3,4,3,2.5,3,3,3,21.5,1,2,2,6.666666667,#N/A,#N/A,#N/A,69.04761905,22.22222222
0107000,Birmingham,AL,South,212237,100-249.9k,6,4,40.04956723,2.174641632,#N/A,100,2.5,10,20,7.5,60,#N/A,N,100,100,#N/A,0,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-4300,100,100,40.04956723,100,100,100,#N/A,100,100,100,100,100,0,49.75,#N/A,0,100,100,#N/A,#N/A,#N/A,1,#N/A,#N/A,1,2,3,3,4,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,4,#N/A,#N/A,#N/A,#N/A,0
0121184,Dothan,AL,South,65496,50-99.9k,5,4,#N/A,#N/A,#N/A,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N,0,100,#N/A,0,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,#N/A,#N/A,100,#N/A,100,100,100,100,100,100,0,75,#N/A,0,100,100,#N/A,#N/A,#N/A,1,#N/A,3,1,2,3.5,#N/A,1,2,#N/A,2.5,4,2.5,3,4,2.5,3,21.5,1,1,1,4,#N/A,#N/A,#N/A,69.04761905,0
0126896,Florence,AL,South,39319,25-49.9k,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,100,0,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,#N/A,#N/A,100,#N/A,100,#N/A,#N/A,100,100,100,0,49.75,#N/A,0,100,100,#N/A,#N/A,#N/A,1,#N/A,3,1,2,3,2,1,#N/A,#N/A,2,1,2,2,2,2.5,2,13.5,1,1,1,4,#N/A,#N/A,#N/A,30.95238095,0
0157048,Opelika,AL,South,26477,25-49.9k,4,4,1.888431469,0.102040816,#N/A,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,0,#N/A,100,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,0,1.888431469,0,100,50,100,#N/A,#N/A,#N/A,#N/A,100,0,49.75,100,100,100,0,100,0,71.42857143,#N/A,#N/A,4,1,1,1,#N/A,1,3,#N/A,2.5,3,1,2,3,2.5,2.5,16.5,1,1,1,4,#N/A,#N/A,#N/A,45.23809524,0
0174688,Tallassee,AL,South,4819,2.5-4.9k,1,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N,#N/A,#N/A,#N/A,#N/A,#N/A,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,0,24.5,#N/A,#N/A,100,0,#N/A,#N/A,#N/A,#N/A,#N/A,2.5,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,4,#N/A,#N/A,#N/A,#N/A,0
0203000,Anchorage,AK,West,291826,250-499.9k,7,5,2.136283265,0.130778897,#N/A,50,27,29,8,22,14,#N/A,#N/A,100,100,#N/A,100,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,305.0822065,3283.874638,4,2,2,50,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,2.136283265,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,#N/A,0,#N/A,2.5,2,4,2,1,2,3,1,3,20.5,2.5,2,2,2.5,2.5,2.5,2.5,16.5,4,2,2,10.66666667,47.66666667,46.11111111,42.59259259,45.23809524,55.55555556
0258660,Palmer,AK,West,5937,5-9.9k,2,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,#N/A,0,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,0,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,100,0,24.75,0,0,0,0,#N/A,#N/A,#N/A,1,#N/A,2.5,1,1,1,#N/A,1,3,#N/A,2,2,2.5,2,2.5,2,2.5,15.5,1,1,1,4,#N/A,#N/A,#N/A,40.47619048,0
0402830,Apache Junction,AZ,West,35840,25-49.9k,4,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N,0,100,#N/A,0,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,254.1708108,2735.86942,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,#N/A,#N/A,#N/A,#N/A,100,#N/A,100,100,#N/A,100,0,49.75,100,0,#N/A,0,0,0,#N/A,1,#N/A,1,1,3,2,#N/A,1,#N/A,#N/A,2,2.5,3,1,2,1,3,14.5,1,1,1,4,#N/A,#N/A,#N/A,35.71428571,0
0412000,Chandler,AZ,West,236123,100-249.9k,6,5,5.304671718,0.159871797,#N/A,10,1,78,3,6,12,#N/A,N,100,100,0,0,#N/A,100,100,0,#N/A,12,#N/A,#N/A,28.26184717,304.2077222,1,#N/A,#N/A,#N/A,100,93,98.17099107,96.77419355,2.322677323,#N/A,#N/A,30,100,100,5.304671718,100,100,100,100,#N/A,#N/A,100,#N/A,100,0,49.75,100,0,100,0,0,0,42.85714286,1,2,4,4,1,3,#N/A,1,3,#N/A,2,2,1,2,2.5,1,2.5,13,1,2,2,6.666666667,#N/A,#N/A,#N/A,28.57142857,22.22222222
0413890,Clarkdale,AZ,West,4097,2.5-4.9k,1,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,100,100,100,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,#N/A,#N/A,0,#N/A,0,100,100,100,100,100,0,50,0,100,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,2.5,1,2,3.5,#N/A,1,2,#N/A,1,3,3,1,3,1,3,15,1,1,1,4,#N/A,#N/A,#N/A,38.0952381,0
0422220,El Mirage,AZ,West,31797,25-49.9k,4,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,#N/A,0,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,-0.5,#N/A,0,0,0,0,#N/A,#N/A,1,#N/A,1,1,1,1,#N/A,1,1,#N/A,2,2.5,2,2,2,2,2.5,15,1,1,1,4,#N/A,#N/A,#N/A,38.0952381,0
0427820,Glendale,AZ,West,226721,100-249.9k,6,5,8.821414867,0.347222222,64.33764396,100,7,4,5,6,78,#N/A,N,100,100,#N/A,100,100,100,100,0,80,40,4,50,327.5386091,3525.59313,#N/A,#N/A,#N/A,#N/A,#N/A,91.58603281,91.63991439,91.86295503,18.74415744,0.137111251,1110.214286,-237,100,100,8.821414867,100,100,100,100,#N/A,#N/A,100,100,100,100,74.75,100,100,100,100,0,0,71.42857143,3.5,#N/A,4,4,1,2,3,2,3,#N/A,2.5,2,2.5,2.5,3,3,2.5,18,2,4,4,13.33333333,#N/A,#N/A,#N/A,52.38095238,77.77777778
0621712,El Cajon,CA,West,99478,50-99.9k,5,5,4.523613261,0.375,64.50688073,100,10,50,15,25,0,14305950,N,100,100,#N/A,100,#N/A,100,100,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,3,1,75,100,#N/A,#N/A,#N/A,#N/A,0.070126058,4103.529412,50,100,100,4.523613261,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,#N/A,#N/A,#N/A,2.5,4,4,4,2,3,#N/A,2,2,#N/A,2.5,4,2.5,2.5,3,3,2.5,20,1,2,2,6.666666667,#N/A,#N/A,#N/A,61.9047619,22.22222222
0622804,Escondido,CA,West,143911,100-249.9k,6,5,#N/A,#N/A,#N/A,#N/A,5,25,25,25,20,#N/A,#N/A,0,100,#N/A,0,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,0.347436958,50000,-1300,100,100,#N/A,#N/A,0,#N/A,100,#N/A,#N/A,#N/A,#N/A,100,0,49.75,100,0,0,100,0,100,57.14285714,1,1,4,4,1,2,4,1,3,21,2.5,2.5,2.5,2.5,2,2.5,2.5,17,1,2,2,6.666666667,44.66666667,41.11111111,44.44444444,47.61904762,22.22222222
0624638,Folsom,CA,West,72203,50-99.9k,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,100,#N/A,0,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70,100,100,#N/A,#N/A,100,#N/A,100,100,100,100,100,100,0,75,100,0,100,0,0,0,42.85714286,1,#N/A,4,2,3,4,3,1,2,#N/A,2,2.5,1,2.5,3,3,3,17,1,2,2,6.666666667,#N/A,#N/A,#N/A,47.61904762,22.22222222
0625380,Fountain Valley,CA,West,55313,50-99.9k,5,5,5.333285123,0.803625391,#N/A,20,10,79,5,2,4,#N/A,#N/A,0,100,100,100,#N/A,100,100,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,94.44392999,88,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,5.333285123,100,0,75,#N/A,#N/A,#N/A,100,100,100,100,49.5,#N/A,100,0,0,#N/A,#N/A,#N/A,2.5,#N/A,#N/A,4,1,3,#N/A,2,2,#N/A,2,4,2.5,1,2.5,2.5,3,17.5,1,2,2,6.666666667,#N/A,#N/A,#N/A,50,22.22222222
0627000,Fresno,CA,West,494665,250-499.9k,7,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,100,#N/A,0,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,100,#N/A,#N/A,0,#N/A,0,100,100,100,100,100,0,50,#N/A,0,0,0,#N/A,100,#N/A,1,#N/A,2.5,2,4,3,#N/A,1,2,#N/A,2,3,2,1,2.5,2,2,14.5,1,2,2,6.666666667,#N/A,#N/A,#N/A,35.71428571,22.22222222
0628168,Gardena,CA,West,58829,50-99.9k,5,5,4.827551038,0.569803302,34.74006116,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,#N/A,0,#N/A,100,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,0.138962077,3270,#N/A,100,100,4.827551038,100,0,75,#N/A,100,100,100,100,100,0,49.75,#N/A,0,0,0,#N/A,#N/A,#N/A,1,#N/A,2,3,1,3,#N/A,2,2,#N/A,2,2.5,2,2,3,2,2,15.5,1,2,2,6.666666667,#N/A,#N/A,#N/A,40.47619048,22.22222222
